index,Unnamed: 0,tr_date,tr_the_open_price,tr_the_close_price,tr_the_max_price,tr_the_min_price,tr_the_comp_volume,tr_t1,tr_t2,tr_t3,tr_t4,tr_t5,tr_t6,tr_t7,tr_t8,tr_t9,tr_qs1,tr_qs2,tr_qs3,tr_qs4,tr_qs5,tr_qs6,tr_qs7,tr_ups_downs,tr_ups_downs_ratio,tr_nav_of_index,非止损持仓信号,止损引起的空仓期,tr_nav_of_product,tr_operate,tr_operate_flag,tr_state,tr_state_flag,tr_fee,tr_today_close_flag,atr_short,atr50,ma50,pre_trading_sign,cost_price,force_sale_price,leverage_factor,leveraged_returns,leveraged_nav
2014-01-02,0,20140102,7062.0,7068.0,7100.0,7040.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6.0,0.084962,1.00085,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-03,1,20140103,7036.0,6988.0,7040.0,6968.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-48.0,-0.682206,0.993178,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,4.0,0.0,1.0
2014-01-06,2,20140106,6970.0,6880.0,6970.0,6846.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-90.0,-1.291248,0.987088,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,4.0,0.0,1.0
2014-01-07,3,20140107,6878.0,6810.0,6898.0,6802.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-68.0,-0.988659,0.990113,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,4.0,0.0,1.0
2014-01-08,4,20140108,6816.0,6838.0,6878.0,6796.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,22.0,0.32277,1.003228,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,4.0,0.0,1.0
2014-01-09,5,20140109,6826.0,6866.0,6888.0,6824.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,40.0,0.585995,1.00586,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,4.0,0.0,1.0
2014-01-10,6,20140110,6890.0,6866.0,6946.0,6858.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-24.0,-0.348331,0.996517,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,4.0,0.0,1.0
2014-01-13,7,20140113,6904.0,6838.0,6908.0,6832.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-66.0,-0.955968,0.99044,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,4.0,0.0,1.0
2014-01-14,8,20140114,6824.0,6888.0,6892.0,6810.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,64.0,0.937866,1.009379,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,4.0,0.0,1.0
2014-01-15,9,20140115,6882.0,6872.0,6920.0,6864.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-10.0,-0.145307,0.998547,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,4.0,0.0,1.0
