index,Unnamed: 0,tr_date,tr_the_open_price,tr_the_close_price,tr_the_max_price,tr_the_min_price,tr_the_comp_volume,tr_t1,tr_t2,tr_t3,tr_t4,tr_t5,tr_t6,tr_t7,tr_t8,tr_t9,tr_qs1,tr_qs2,tr_qs3,tr_qs4,tr_qs5,tr_qs6,tr_qs7,tr_ups_downs,tr_ups_downs_ratio,tr_nav_of_index,非止损持仓信号,止损引起的空仓期,tr_nav_of_product,tr_operate,tr_operate_flag,tr_state,tr_state_flag,tr_fee,tr_today_close_flag,atr_short,atr50,ma50,pre_trading_sign,cost_price,force_sale_price,leverage_factor,leveraged_returns,leveraged_nav
2014-01-02,0,20140102,2986.0,2916.0,2995.0,2903.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-70.0,-2.344273,0.976557,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-03,1,20140103,2904.0,2884.0,2911.0,2869.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-20.0,-0.688705,0.993113,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.0,0.0,1.0
2014-01-06,2,20140106,2880.0,2898.0,2920.0,2865.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.0,0.625,1.00625,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.0,0.0,1.0
2014-01-07,3,20140107,2889.0,2881.0,2890.0,2871.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-8.0,-0.276912,0.997231,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.0,0.0,1.0
2014-01-08,4,20140108,2882.0,2899.0,2905.0,2865.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17.0,0.589868,1.005899,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.0,0.0,1.0
2014-01-09,5,20140109,2894.0,2887.0,2929.0,2885.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-7.0,-0.24188,0.997581,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.0,0.0,1.0
2014-01-10,6,20140110,2879.0,2917.0,2926.0,2870.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,38.0,1.319903,1.013199,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.0,0.0,1.0
2014-01-13,7,20140113,2922.0,2929.0,2958.0,2919.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.0,0.239562,1.002396,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.0,0.0,1.0
2014-01-14,8,20140114,2928.0,2970.0,2971.0,2928.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,42.0,1.434426,1.014344,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.0,0.0,1.0
2014-01-15,9,20140115,2972.0,2970.0,2982.0,2950.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-2.0,-0.067295,0.999327,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.0,0.0,1.0
2014-01-16,10,20140116,2979.0,2954.0,2981.0,2951.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-25.0,-0.839208,0.991608,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.0,0.0,1.0
2014-01-17,11,20140117,2949.0,2913.0,2950.0,2881.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-36.0,-1.220753,0.987792,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.0,0.0,1.0
2014-01-20,12,20140120,2911.0,2928.0,2949.0,2900.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17.0,0.583992,1.00584,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.0,0.0,1.0
